GID_date,Period_number,Period,Sub_period,Start_date,End_date,Confidence_in_date
76446,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76447,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76448,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
76449,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76450,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76452,17,Neolithic/Bronze Age,n/a,-4000,-1501,Y
76453,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
76455,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
76457,1,Neolithic,Early Neolithic,-4000,-3301,Y
76458,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
76459,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76460,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76461,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76462,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76463,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76464,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76465,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76466,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76467,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76468,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76469,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76470,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76471,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76472,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76473,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76474,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76475,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76476,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76477,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76478,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76479,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76480,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76481,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76482,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76483,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76484,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76486,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76488,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76490,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76492,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76494,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76496,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76497,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76498,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76499,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76500,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76501,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76502,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76503,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76504,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76505,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76506,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76507,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76508,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76509,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76510,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76511,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76512,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76513,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76514,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76515,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76516,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
76517,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76518,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76519,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76521,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76522,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76523,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76524,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76525,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76526,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76527,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76528,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76529,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76530,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76531,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76533,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76536,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76538,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76539,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76540,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76541,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76542,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76543,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76544,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76545,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76546,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76547,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76548,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76549,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76550,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76551,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
76555,1,Neolithic,Early Neolithic,-4000,-3301,Y
76556,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76557,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76558,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76559,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76560,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76561,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76562,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
76563,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76564,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76565,1,Neolithic,Early Neolithic,-4000,-3301,Y
76566,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76567,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76568,1,Neolithic,Early Neolithic,-4000,-3301,Y
76569,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76570,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76571,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76572,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76573,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76574,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76575,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76576,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76577,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76578,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76579,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76580,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76581,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76582,10,Iron Age,Late Iron Age,-100,42,Y
76583,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
76584,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76585,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76586,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
76587,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30412,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30413,17,Neolithic/Bronze Age,n/a,-4000,-1501,Y
30416,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30418,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30419,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30421,13,Bronze Age,n/a,-2450,-1501,Y
30422,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30423,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30424,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30425,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30426,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30427,5,Bronze Age,Early Bronze Age,-1700,-1501,Y
30429,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30433,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30435,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
30436,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30438,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
30442,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30443,13,Bronze Age,n/a,-2450,-801,Y
30444,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30445,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30449,13,Bronze Age,n/a,-2450,-801,Y
30450,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30451,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30452,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30453,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30455,12,Neolithic,n/a,-3200,-2451,Y
30457,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30458,4,Bronze Age,Beaker/Chalcolithic,-2450,-2000,Y
30459,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30460,5,Bronze Age,Early Bronze Age,-1800,-1600,Y
30461,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30462,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30463,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30464,5,Bronze Age,Early Bronze Age,-2300,-1800,Y
30468,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30469,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30470,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30473,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
30474,13,Bronze Age,n/a,-2450,-801,Y
30475,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
30477,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30479,13,Bronze Age,n/a,-2450,-801,Y
30481,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30483,13,Bronze Age,n/a,-2450,-801,Y
30484,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30485,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30486,4,Bronze Age,Beaker/Chalcolithic,-2700,-2201,Y
30487,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30488,13,Bronze Age,n/a,-2450,-801,Y
30489,13,Bronze Age,n/a,-2450,-801,Y
30492,13,Bronze Age,n/a,-2450,-801,Y
30496,13,Bronze Age,n/a,-2450,-1501,Y
30497,5,Bronze Age,Early Bronze Age,-2200,-1600,Y
30499,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30502,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30505,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30507,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30509,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30510,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30513,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
30514,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30515,13,Bronze Age,n/a,-2450,-1801,Y
30517,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
30524,13,Bronze Age,n/a,-2450,-1501,Y
30525,10,Iron Age,Late Iron Age,-100,42,Y
30004,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30006,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30012,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30014,5,Bronze Age,Early Bronze Age,-2200,-1600,Y
30038,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30062,5,Bronze Age,Early Bronze Age,-1800,-1600,Y
30064,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30066,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30072,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30078,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30080,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30082,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30086,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30088,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30090,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30094,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30100,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30106,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30108,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30126,5,Bronze Age,Early Bronze Age,-2200,-1650,Y
30138,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30148,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30150,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30152,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30154,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30156,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30162,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30180,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30184,13,Bronze Age,n/a,-2450,-801,Y
30188,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30190,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30192,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
30194,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
30200,13,Bronze Age,n/a,-2450,-801,Y
30208,12,Neolithic,n/a,-3200,-2500,Y
30214,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30216,4,Bronze Age,Beaker/Chalcolithic,-2450,-2000,Y
30224,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30226,13,Bronze Age,n/a,-2450,-801,Y
30228,17,Neolithic/Bronze Age,n/a,-2900,-2201,Y
30266,17,Neolithic/Bronze Age,n/a,-4000,-801,Y
30268,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30274,13,Bronze Age,n/a,-2450,-801,Y
30276,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30286,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30288,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30296,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30298,4,Bronze Age,Beaker/Chalcolithic,-2500,-2201,Y
30300,13,Bronze Age,n/a,-2450,-801,Y
30348,13,Bronze Age,n/a,-2450,-801,Y
30354,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30362,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30364,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30366,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30372,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30374,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30390,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30392,5,Bronze Age,Early Bronze Age,-2150,-1750,Y
30394,5,Bronze Age,Early Bronze Age,-2290,-1750,Y
30431,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30013,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30015,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30039,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30063,5,Bronze Age,Early Bronze Age,-1800,-1600,Y
30065,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30067,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30073,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30079,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30081,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30083,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30087,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30089,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30091,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30095,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30101,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30109,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30139,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30149,13,Bronze Age,n/a,-2450,-1601,Y
30151,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30153,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30163,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
30181,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30185,13,Bronze Age,n/a,-2450,-801,Y
30193,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
30195,5,Bronze Age,Early Bronze Age,-2200,-1801,Y
30201,13,Bronze Age,n/a,-2450,-801,Y
30209,12,Neolithic,n/a,-3200,-2500,Y
30215,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30217,4,Bronze Age,Beaker/Chalcolithic,-2450,-2000,Y
30225,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30227,13,Bronze Age,n/a,-2450,-801,Y
30229,3,Neolithic,Late Neolithic,-2900,-2451,Y
30269,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
30275,13,Bronze Age,n/a,-2450,-801,Y
30277,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30287,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30289,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30297,5,Bronze Age,Early Bronze Age,-2200,-1700,Y
30299,4,Bronze Age,Beaker/Chalcolithic,-2500,-2201,Y
30301,13,Bronze Age,n/a,-2450,-801,Y
30349,13,Bronze Age,n/a,-2450,-801,Y
30355,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
30365,5,Bronze Age,Early Bronze Age,-1800,-1501,Y
30367,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30375,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
30391,5,Bronze Age,Early Bronze Age,-2200,-1800,Y
30399,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
77114,10,Iron Age,Late Iron Age,-100,42,Y
77115,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77117,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77118,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77119,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77120,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77121,5,Bronze Age,Early Bronze Age,-2200,-1701,
77123,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77124,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77125,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77126,10,Iron Age,Late Iron Age,-100,42,Y
77127,10,Iron Age,Late Iron Age,-100,42,Y
77128,10,Iron Age,Late Iron Age,-100,42,Y
77133,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
77136,5,Bronze Age,Early Bronze Age,-2000,-1501,Y
77137,10,Iron Age,Late Iron Age,-100,42,Y
77138,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77139,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77140,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77141,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77142,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77143,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77144,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77145,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77146,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77147,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77148,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77149,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77150,10,Iron Age,Late Iron Age,-100,42,Y
77151,10,Iron Age,Late Iron Age,-100,42,Y
77152,10,Iron Age,Late Iron Age,-100,42,Y
77153,10,Iron Age,Late Iron Age,-100,42,Y
77154,10,Iron Age,Late Iron Age,-100,42,Y
77156,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77157,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77158,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77159,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77160,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77161,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77162,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77163,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77164,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77165,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77166,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77167,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77168,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77169,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77170,10,Iron Age,Late Iron Age,1,100,Y
77171,10,Iron Age,Late Iron Age,1,100,Y
77172,10,Iron Age,Late Iron Age,1,100,Y
77173,10,Iron Age,Late Iron Age,1,100,Y
77174,10,Iron Age,Late Iron Age,-100,42,Y
77175,10,Iron Age,Late Iron Age,-100,42,Y
77176,10,Iron Age,Late Iron Age,-100,42,Y
77177,10,Iron Age,Late Iron Age,-100,42,Y
77178,10,Iron Age,Late Iron Age,-100,42,Y
77179,10,Iron Age,Late Iron Age,-100,42,Y
77180,10,Iron Age,Late Iron Age,-100,42,Y
77181,1,Neolithic,Early Neolithic,-4000,-3301,Y
77182,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77183,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77184,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77185,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77186,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77188,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77189,10,Iron Age,Late Iron Age,-100,100,Y
77190,10,Iron Age,Late Iron Age,-100,100,Y
77191,10,Iron Age,Late Iron Age,-100,42,Y
77192,1,Neolithic,Early Neolithic,-4000,-3301,Y
77193,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77194,1,Neolithic,Early Neolithic,-4000,-3301,Y
77195,10,Iron Age,Late Iron Age,-100,42,Y
77196,1,Neolithic,Early Neolithic,-4000,-3301,Y
77197,1,Neolithic,Early Neolithic,-4000,-3301,Y
77198,1,Neolithic,Early Neolithic,-4000,-3301,Y
77199,1,Neolithic,Early Neolithic,-4000,-3301,Y
77200,1,Neolithic,Early Neolithic,-4000,-3301,Y
77201,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77202,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77203,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77204,1,Neolithic,Early Neolithic,-4000,-3301,Y
77205,1,Neolithic,Early Neolithic,-4000,-3301,Y
77206,1,Neolithic,Early Neolithic,-4000,-3301,Y
77207,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77208,4,Bronze Age,Beaker/Chalcolithic,-2450,-2201,Y
77209,1,Neolithic,Early Neolithic,-4000,-3301,Y
77210,1,Neolithic,Early Neolithic,-4000,-3301,Y
77211,1,Neolithic,Early Neolithic,-4000,-3301,Y
77213,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77215,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77217,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77219,10,Iron Age,Late Iron Age,1,42,Y
77220,10,Iron Age,Late Iron Age,-100,42,Y
77221,10,Iron Age,Late Iron Age,-100,42,Y
77222,10,Iron Age,Late Iron Age,-100,42,Y
77223,10,Iron Age,Late Iron Age,-100,42,Y
77224,10,Iron Age,Late Iron Age,-100,42,Y
77225,10,Iron Age,Late Iron Age,1,50,Y
77226,10,Iron Age,Late Iron Age,1,50,Y
77228,10,Iron Age,Late Iron Age,-100,42,Y
77229,10,Iron Age,Late Iron Age,-100,42,Y
77230,10,Iron Age,Late Iron Age,-100,42,Y
77231,10,Iron Age,Late Iron Age,-100,42,Y
77232,10,Iron Age,Late Iron Age,-100,42,Y
77233,14,Iron Age,n/a,-800,42,Y
77234,10,Iron Age,Late Iron Age,-100,42,Y
77235,10,Iron Age,Late Iron Age,-100,42,Y
77236,10,Iron Age,Late Iron Age,-100,42,Y
77237,10,Iron Age,Late Iron Age,-100,42,Y
77238,10,Iron Age,Late Iron Age,-100,42,Y
77239,10,Iron Age,Late Iron Age,-100,42,Y
77240,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
77248,4,Bronze Age,Beaker/Chalcolithic,-2450,-2000,Y
77252,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77253,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77254,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77255,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77256,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77257,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77258,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77259,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77260,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77261,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77262,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77263,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77264,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77265,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77266,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77267,5,Bronze Age,Early Bronze Age,-2200,-1701,Y
77270,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77271,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77272,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77273,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77274,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77275,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77276,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77277,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77278,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77279,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77283,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77284,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77285,12,Neolithic,n/a,-4000,-2451,Y
77287,12,Neolithic,n/a,-4000,-2451,Y
77289,5,Bronze Age,Early Bronze Age,-2200,-1501,Y
77290,5,Bronze Age,Early Bronze Age,-1900,-1501,Y
